,Rank,Player,Year,G,REC,YDS,YBC,AIR,YAC,YACON,BRKTKL,TGT,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS
620,21,DJ Moore (CHI),2019,15,6,78,53,53,26,10,0,9,6,0,1,3,1,1,0,0
621,22,Robert Woods (HOU),2019,15,6,76,37,37,38,7,0,9,6,0,1,4,1,0,0,0
622,23,Calvin Ridley (JAC),2019,13,5,67,56,56,11,3,0,7,5,0,1,3,1,0,0,0
623,24,Terry McLaurin (WAS),2019,14,4,66,50,50,16,8,0,7,5,0,1,3,1,0,0,0
624,25,Tyler Boyd (CIN),2019,16,6,65,39,39,26,7,0,9,6,0,1,3,1,0,0,0
625,26,Deebo Samuel (SF),2019,15,4,53,22,22,32,11,0,5,4,1,1,2,1,0,0,0
626,27,Marvin Jones Jr. (DET),2019,13,5,60,52,52,8,6,0,7,5,0,1,3,1,0,0,0
627,28,Tyreek Hill (MIA),2019,12,5,72,49,49,23,6,0,7,5,0,1,3,1,1,1,0
628,29,Davante Adams (LV),2019,12,7,83,51,51,32,7,0,11,8,1,2,3,1,1,0,0
629,30,DK Metcalf (SEA),2019,16,4,56,39,39,17,5,0,6,4,0,1,2,1,0,0,0
630,31,Odell Beckham Jr. (BAL),2019,16,5,65,44,44,20,3,0,8,5,0,1,2,1,1,0,0
631,32,Emmanuel Sanders (FA),2019,17,4,51,37,37,14,3,0,6,4,0,1,2,1,0,0,0
632,33,Darius Slayton (NYG),2019,14,3,53,39,39,14,5,0,6,4,0,0,2,1,1,0,0
633,34,Jamison Crowder (NYG),2019,16,5,52,30,30,22,7,0,8,6,1,1,2,1,0,0,0
634,35,Cole Beasley (FA),2019,15,4,52,30,30,22,5,0,7,5,0,1,2,1,0,0,0
635,36,Curtis Samuel (WAS),2019,16,3,39,30,30,10,3,0,7,4,0,1,2,1,0,0,0
636,37,Mike Williams (LAC),2019,15,3,67,54,54,12,5,0,6,4,0,1,3,1,1,1,0
637,38,Chosen Anderson (MIA),2019,16,3,49,37,37,12,3,0,6,4,0,0,2,1,0,0,0
638,39,Chris Conley (SF),2019,16,3,48,33,33,16,8,0,6,4,0,0,2,1,0,0,0
639,40,Diontae Johnson (PIT),2019,16,4,43,23,23,19,6,1,6,4,0,0,2,0,0,0,0
640,41,Golden Tate (FA),2019,11,4,61,36,36,26,13,0,8,5,0,1,2,1,0,0,0
641,42,Larry Fitzgerald (FA),2019,16,5,50,29,29,21,7,0,7,5,0,1,2,1,0,0,0
642,43,Breshad Perriman (FA),2019,14,3,46,37,37,9,3,0,5,3,0,0,2,1,1,0,0
643,44,Tyrell Williams (FA),2019,14,3,47,33,33,14,5,0,5,4,0,1,2,1,0,0,0
644,45,Marquise Brown (ARI),2019,14,3,42,26,26,16,4,0,5,4,0,1,1,1,0,0,0
645,46,Christian Kirk (JAC),2019,13,5,55,33,33,22,5,0,8,6,0,1,2,0,0,0,0
646,47,Randall Cobb (NYJ),2019,15,4,55,33,33,22,7,0,6,4,1,1,2,1,0,0,0
647,48,Zach Pascal (ARI),2019,16,3,38,23,23,15,4,0,5,3,0,1,2,1,0,0,0
648,49,Mecole Hardman Jr. (NYJ),2019,16,2,34,15,15,18,6,0,3,2,0,0,1,1,0,0,0
649,50,Dede Westbrook (FA),2019,15,4,44,23,23,21,7,0,7,5,0,1,2,1,0,0,0
650,51,James Washington (NO),2019,15,3,49,37,37,12,5,0,5,3,0,0,2,1,1,0,0
651,52,Sammy Watkins (FA),2019,14,4,48,27,27,21,5,0,6,4,0,0,2,1,0,0,0
652,53,William Fuller V (FA),2019,11,4,61,41,41,20,4,0,6,5,0,1,2,1,1,0,0
653,54,Sterling Shepard (NYG),2019,10,6,58,40,40,18,7,0,8,6,0,1,2,1,0,0,0
654,55,Hunter Renfrow (LV),2019,13,4,47,23,23,23,12,0,5,4,0,1,2,1,0,0,0
655,56,Adam Thielen (CAR),2019,10,3,42,30,30,12,5,0,5,3,0,1,2,1,0,0,0
656,57,T.Y. Hilton (FA),2019,10,5,50,29,29,21,9,0,7,5,0,1,2,1,0,0,0
657,58,Kenny Stills (FA),2019,13,3,43,32,32,11,2,0,4,3,0,0,2,1,1,0,0
658,59,Alshon Jeffery (FA),2019,10,4,49,38,38,11,2,0,7,5,0,1,2,1,0,0,0
659,60,Danny Amendola (FA),2019,15,4,45,31,31,14,3,0,6,4,0,1,2,0,0,0,0
660,61,Anthony Miller (PIT),2019,16,3,41,27,27,14,3,0,5,3,0,1,2,1,0,0,0
661,62,Steven Sims Jr. (HOU),2019,16,2,19,9,9,11,1,0,4,2,0,1,1,0,0,0,0
662,63,Brandin Cooks (DAL),2019,14,3,42,30,30,12,3,0,5,3,0,0,2,1,0,0,0
663,64,Corey Davis (NYJ),2019,15,3,40,24,24,16,9,1,5,3,0,0,2,1,0,0,0
664,65,Phillip Dorsett II (LV),2019,14,2,28,23,23,6,1,0,4,2,0,1,1,0,0,0,0
665,66,JuJu Smith-Schuster (NE),2019,12,4,46,27,27,19,9,0,6,4,0,1,2,1,0,0,0
666,67,Demarcus Robinson (FA),2019,16,2,28,21,21,7,2,0,3,2,0,0,1,0,0,0,0
667,68,Kendrick Bourne (NE),2019,16,2,22,15,15,8,4,0,3,2,0,0,1,0,0,0,0
668,69,Allen Lazard (NYJ),2019,16,2,30,22,22,8,2,0,3,2,0,0,1,0,0,0,0
669,70,John Ross (KC),2019,8,4,63,39,39,25,8,0,7,5,1,0,2,1,1,0,0
670,71,Mohamed Sanu Sr. (FA),2019,15,4,35,22,22,13,5,0,6,4,0,1,2,0,0,0,0
671,72,Willie Snead IV (SF),2019,16,2,21,13,13,8,5,0,3,2,0,0,1,0,0,0,0
